scale,lag,acf,pacf,n,valid_pairs,white_noise_pointwise_band,pacf_method,sequence,model
1min,36,0.0199688500571373,0.0002436847292766,132840,132804,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,37,0.0200867924277077,0.0032147639362769,132840,132803,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,38,0.0169934269535314,0.0010969701486369,132840,132802,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,39,0.0191922252896757,0.0046141890473188,132840,132801,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,40,0.0171815905527609,0.0015592584511152,132840,132800,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,41,0.0173521277934641,0.0027170477046518,132840,132799,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,42,0.0158756323633943,0.0013945132301504,132840,132798,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,43,0.0169846837415055,0.0037419689660754,132840,132797,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,44,0.0160664594760505,0.0022369820113607,132840,132796,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,45,0.021687683638743,0.0084744605415252,132840,132795,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,46,0.0232888508499574,0.0078304439502451,132840,132794,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,47,0.0183532285320324,0.0007627879232678,132840,132793,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,48,0.0167963547281334,0.0023286149386274,132840,132792,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,49,0.0177310605484451,0.0046110891282301,132840,132791,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,50,0.0171860392116024,0.0029122117842556,132840,132790,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,51,0.0209054341233026,0.0076307603938831,132840,132789,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,52,0.0255296892935073,0.010751450178299,132840,132788,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,53,0.0209247058066681,0.0029482574071915,132840,132787,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,54,0.0268203891958231,0.0116030673965982,132840,132786,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,55,0.0345971205096227,0.017526422741715,132840,132785,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,56,0.0292434620673914,0.0063200645305609,132840,132784,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,57,0.0246834403890049,0.0041951366062519,132840,132783,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,58,0.0179557739642615,-0.0001384446209397,132840,132782,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,59,0.0201204497967439,0.0056793993494297,132840,132781,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,60,0.0197652830983374,0.0042430597891417,132840,132780,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
5min,1,0.1608580271510341,0.1608580271510341,26568,26567,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,2,0.0562600058087063,0.0311917981985157,26568,26566,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,3,0.0499821876944355,0.0371948237893951,26568,26565,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,4,0.0463474882204044,0.0321088837550099,26568,26564,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,5,0.0249398082355408,0.0099084663895415,26568,26563,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,6,0.0212423038387976,0.0117277336434799,26568,26562,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,7,0.0136913418046244,0.0046584708429872,26568,26561,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,8,0.0160817693400281,0.009817525151528,26568,26560,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,9,0.02307176562516,0.0167165323255821,26568,26559,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,10,0.0193165147931157,0.0107824448657196,26568,26558,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,11,0.0232220945006723,0.0158526087843452,26568,26557,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,12,0.0201657338734359,0.0109007488070521,26568,26556,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,13,0.0270409565003583,0.0186547507085065,26568,26555,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,14,0.0084783537174385,-0.002761716695551,26568,26554,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,15,0.0166029705369129,0.0111022522805281,26568,26553,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,16,0.009379420669129,0.0012831586029937,26568,26552,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,17,0.0072667827029366,0.0016659172882886,26568,26551,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,18,0.0075225775561841,0.0031018730156856,26568,26550,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,19,0.0158348369698445,0.0114673739118267,26568,26549,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,20,0.0040713162781225,-0.0027371241084019,26568,26548,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,21,0.0126551798453994,0.009431586926846,26568,26547,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,22,0.0035295087122935,-0.0029042130901332,26568,26546,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,23,0.0004191534949444,-0.0029675479152835,26568,26545,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,24,0.0012202399374762,-0.0011321343290075,26568,26544,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,1,0.1599202018589799,0.1599202018589799,26568,26567,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,AR_BIC
5min,2,0.0565514744137697,0.0317900162999161,26568,26566,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,AR_BIC
5min,3,0.050036442351643,0.0371839299964671,26568,26565,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,AR_BIC
5min,4,0.0464424864903469,0.0322350551025461,26568,26564,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,AR_BIC
5min,5,0.024941012917997,0.0099087794130751,26568,26563,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,AR_BIC
