lag,minutes,acf,pacf,acf_ci_95,pacf_ci_95,acf_n_pairs,pacf_nobs,acf_conventional,pacf_conventional,acf_significant,pacf_significant,scale,label,bar_minutes,separation_value,separation_unit
22,110.0,0.003957055867279708,0.0029209422120111033,0.013475326359512327,0.013475326359512327,21156,21156,0.003468488879098301,0.0034145969862480496,False,False,5min,5 minutos,5.0,110,minutos
23,115.0,0.007161741439863174,0.005789887210347225,0.013554361209415706,0.013554361209415706,20910,20910,0.005584221682204884,0.005265488608261062,False,False,5min,5 minutos,5.0,115,minutos
24,120.0,0.006561200953947186,0.004825942377621947,0.013634803228451476,0.013634803228451476,20664,20664,-0.00011337341526587708,-0.0005297566301986893,False,False,5min,5 minutos,5.0,120,minutos
25,125.0,-0.0033250335146250264,-0.002355616767381919,0.013716694674827067,0.013716694674827067,20418,20418,-0.01037951531776627,-0.010251079026828291,False,False,5min,5 minutos,5.0,125,minutos
26,130.0,0.009377014394737492,0.007648552372759835,0.013800079605020324,0.013800079605020324,20172,20172,0.007829637534926511,0.007622129293052331,False,False,5min,5 minutos,5.0,130,minutos
27,135.0,0.011464049723748326,0.009090116113151385,0.013885003973379367,0.013885003973379367,19926,19926,0.010658099829029146,0.010535079947876481,False,False,5min,5 minutos,5.0,135,minutos
28,140.0,0.002249591970946626,0.00202827795012323,0.013971515738548925,0.013971515738548925,19680,19680,0.00030923851020514694,0.0008148390167111374,False,False,5min,5 minutos,5.0,140,minutos
29,145.0,0.013317976310830088,0.010359797717257972,0.014059664977283002,0.014059664977283002,19434,19434,0.010577776621240582,0.010215424313847605,False,False,5min,5 minutos,5.0,145,minutos
30,150.0,0.002172063515160405,0.0014070324721552555,0.014149504006257526,0.014149504006257526,19188,19188,0.004953921400344069,0.004813489687325517,False,False,5min,5 minutos,5.0,150,minutos
0,0.0,1.0,1.0,0.020827505960069048,0.020827505960069048,8856,8856,1.0,1.0,False,False,15min,15 minutos,15.0,0,minutos
1,15.0,0.00706198744013198,0.006901237632911897,0.021122946333043076,0.021122946333043076,8610,8610,0.007447323234157828,0.007447323234157822,False,False,15min,15 minutos,15.0,15,minutos
2,30.0,0.008777698351267101,0.008254497392334035,0.021431326825194073,0.021431326825194073,8364,8364,0.005689201453368036,0.005634051309279728,False,False,15min,15 minutos,15.0,30,minutos
3,45.0,-0.01398735419478959,-0.013333390349291438,0.021753620501592876,0.021753620501592876,8118,8118,-0.01197427413722931,-0.012059414971630968,False,False,15min,15 minutos,15.0,45,minutos
4,60.0,-0.02639237861388277,-0.024248479593971896,0.02209090604935209,0.02209090604935209,7872,7872,-0.02210158132674031,-0.021959953179000104,True,True,15min,15 minutos,15.0,60,minutos
5,75.0,0.001528131605584587,0.0018002873026414486,0.022444382990535937,0.022444382990535937,7626,7626,0.0007036934388848882,0.0011651007308586098,False,False,15min,15 minutos,15.0,75,minutos
6,90.0,-0.009899913971606163,-0.008335916366320428,0.022815389661806223,0.022815389661806223,7380,7380,-0.00608526634365989,-0.005991281646328287,False,False,15min,15 minutos,15.0,90,minutos
7,105.0,0.004288704035772437,0.0029884764296351785,0.023205424575837515,0.023205424575837515,7134,7134,-0.0029893409219929118,-0.003441420271591191,False,False,15min,15 minutos,15.0,105,minutos
8,120.0,0.018302496093552948,0.014178960245978011,0.023616171942882114,0.023616171942882114,6888,6888,0.0024572254928789733,0.002112413640983185,False,False,15min,15 minutos,15.0,120,minutos
