scale,segment,start,end,n,specification,test,trend,null,adf_max_lags,lag_rule,small_sample,status,statistic,pvalue,critical_1,critical_5,critical_10,lags,nobs,reject_5pct,warning
30min,2024-01-23,2024-01-23,2024-01-23,18,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-6.617340671863049,6.159831831673302e-09,-3.889265672705068,-3.0543579727254224,-2.66698384083045,4,17,True,
30min,2024-01-23,2024-01-23,2024-01-23,18,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.11365516621547939,0.5225838047233266,0.7428,0.4614,0.3475,4,18,False,
30min,2024-01-24,2024-01-24,2024-01-24,18,main,ADF,c,unit_root,2.0,bic,True,ok,-3.455322062501396,0.009211450359260276,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-24,2024-01-24,2024-01-24,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-3.4187124373158793,0.010337267907506465,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2,17,True,
30min,2024-01-24,2024-01-24,2024-01-24,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.06379822820006135,0.7909954723312247,0.7428,0.4614,0.3475,2,18,False,
30min,2024-01-24,2024-01-24,2024-01-24,18,lag_sensitivity,ADF,c,unit_root,2.0,aic,True,ok,-3.455322062501396,0.009211450359260276,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-24,2024-01-24,2024-01-24,18,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-3.44441522327618,0.009534791129372205,-3.889265672705068,-3.0543579727254224,-2.66698384083045,4,17,True,
30min,2024-01-24,2024-01-24,2024-01-24,18,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.10977338034861328,0.5396664529608487,0.7428,0.4614,0.3475,4,18,False,
30min,2024-01-25,2024-01-25,2024-01-25,18,main,ADF,c,unit_root,2.0,bic,True,ok,-4.762348096871548,6.41610720442343e-05,-3.9240193847656246,-3.0684982031250003,-2.67389265625,1,16,True,
30min,2024-01-25,2024-01-25,2024-01-25,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-7.4071751890030315,7.292963444010285e-11,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2,17,True,
30min,2024-01-25,2024-01-25,2024-01-25,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.12140844565110401,0.4904929776930105,0.7428,0.4614,0.3475,2,18,False,
30min,2024-01-25,2024-01-25,2024-01-25,18,lag_sensitivity,ADF,c,unit_root,2.0,aic,True,ok,-4.762348096871548,6.41610720442343e-05,-3.9240193847656246,-3.0684982031250003,-2.67389265625,1,16,True,
30min,2024-01-25,2024-01-25,2024-01-25,18,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-7.606041133947066,2.3209080906478177e-11,-3.889265672705068,-3.0543579727254224,-2.66698384083045,4,17,True,
30min,2024-01-25,2024-01-25,2024-01-25,18,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.1300851500803575,0.4569957086553824,0.7428,0.4614,0.3475,4,18,False,
30min,2024-01-26,2024-01-26,2024-01-26,18,main,ADF,c,unit_root,2.0,bic,True,ok,-5.666954457913992,9.105347746098547e-07,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-26,2024-01-26,2024-01-26,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-5.903440399937082,2.7436435809594894e-07,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2,17,True,
30min,2024-01-26,2024-01-26,2024-01-26,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.12632160221262712,0.4710989386343666,0.7428,0.4614,0.3475,2,18,False,
30min,2024-01-26,2024-01-26,2024-01-26,18,lag_sensitivity,ADF,c,unit_root,2.0,aic,True,ok,-5.666954457913992,9.105347746098547e-07,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-26,2024-01-26,2024-01-26,18,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-6.3637430646919455,2.4384906155152616e-08,-3.889265672705068,-3.0543579727254224,-2.66698384083045,4,17,True,
30min,2024-01-26,2024-01-26,2024-01-26,18,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.17249576687420673,0.32834402304493254,0.7428,0.4614,0.3475,4,18,False,
30min,2024-01-29,2024-01-29,2024-01-29,18,main,ADF,c,unit_root,2.0,bic,True,ok,-3.833155128293811,0.002585739509569263,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-29,2024-01-29,2024-01-29,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-3.8230417144503184,0.0026801731570183095,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2,17,True,
30min,2024-01-29,2024-01-29,2024-01-29,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.4270208185581278,0.06145833888792189,0.7428,0.4614,0.3475,2,18,False,
30min,2024-01-29,2024-01-29,2024-01-29,18,lag_sensitivity,ADF,c,unit_root,2.0,aic,True,ok,-1.2778357046861846,0.6392505269660267,-3.9644434814814815,-3.0849081481481484,-2.6818144444444445,2,15,False,
30min,2024-01-29,2024-01-29,2024-01-29,18,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-3.8241191210640437,0.0026699636810137706,-3.889265672705068,-3.0543579727254224,-2.66698384083045,4,17,True,
30min,2024-01-29,2024-01-29,2024-01-29,18,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.3592232452545848,0.09297514640541102,0.7428,0.4614,0.3475,4,18,False,
